Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
2005,0.16101796183725395,0.15937704780553724,0.15773613377382054,1.18113831281662,1.0316005011399587,0.8565747400124868
2006,0.21174968010327958,0.19537704780553722,0.1730044155077949,1.3423265893459322,1.1636005011399586,0.9597278078397116
2007,0.23074968010327954,0.23037704780553725,0.2190044155077949,1.444326589345932,1.2976005011399587,1.1387278078397114
2008,0.24974968010327955,0.2633770478055372,0.26400441550779497,1.547326589345932,1.4336005011399586,1.3217278078397117
2009,0.2667496801032796,0.29637704780553725,0.3080044155077949,1.6513265893459321,1.5716005011399587,1.5077278078397116
2010,0.2847496801032795,0.3283770478055372,0.35200441550779493,1.7553265893459322,1.7126005011399588,1.6977278078397116
2011,0.3007496801032795,0.35937704780553725,0.39400441550779497,1.8603265893459322,1.8556005011399588,1.8907278078397116
2012,0.31774968010327953,0.3893770478055372,0.4360044155077949,1.9653265893459322,2.000600501139959,2.0877278078397117
2013,0.33374968010327954,0.41937704780553725,0.47700441550779493,2.071326589345932,2.1476005011399586,2.2887278078397113
2014,0.34874968010327956,0.4473770478055373,0.517004415507795,2.1783265893459323,2.2966005011399586,2.4927278078397115
2015,0.36374968010327957,0.4753770478055372,0.5560044155077949,2.286326589345932,2.4476005011399584,2.699727807839712
2016,0.3777496801032796,0.5013770478055373,0.5950044155077949,2.395326589345932,2.600600501139959,2.9097278078397117
2017,0.3917496801032796,0.5273770478055373,0.632004415507795,2.505326589345932,2.7556005011399587,3.1237278078397113
2018,0.4057496801032795,0.5523770478055372,0.669004415507795,2.615326589345932,2.9126005011399587,3.340727807839712
2019,0.4187496801032795,0.5763770478055372,0.7050044155077949,2.727326589345932,3.0706005011399586,3.561727807839712
2020,0.4307496801032795,0.6003770478055372,0.7400044155077949,2.840326589345932,3.231600501139959,3.7847278078397117
2021,0.44274968010327953,0.6223770478055373,0.774004415507795,2.954326589345932,3.393600501139959,4.011727807839711
2022,0.45474968010327954,0.6443770478055373,0.8080044155077949,3.0693265893459323,3.558600501139959,4.240727807839711
2023,0.46674968010327955,0.6653770478055372,0.8410044155077949,3.1863265893459323,3.7246005011399586,4.473727807839712
2024,0.47674968010327956,0.6863770478055373,0.8730044155077948,3.3033265893459323,3.8916005011399584,4.709727807839712
2025,0.48774968010327957,0.7053770478055372,0.904004415507795,3.423326589345932,4.061600501139958,4.947727807839712
2026,0.49774968010327947,0.7243770478055371,0.934004415507795,3.543326589345932,4.231600501139959,5.189727807839712
2027,0.5077496801032795,0.7433770478055373,0.964004415507795,3.665326589345932,4.404600501139959,5.434727807839712
2028,0.5167496801032795,0.7603770478055372,0.993004415507795,3.788326589345932,4.578600501139959,5.681727807839712
2029,0.5257496801032795,0.7773770478055373,1.0220044155077948,3.913326589345932,4.754600501139959,5.931727807839712
2030,0.5347496801032795,0.7933770478055373,1.0490044155077949,4.040326589345932,4.931600501139958,6.184727807839712
2031,0.5427496801032795,0.8093770478055373,1.0760044155077948,4.1683265893459325,5.110600501139959,6.440727807839711
2032,0.5507496801032795,0.8243770478055372,1.1020044155077948,4.2983265893459315,5.289600501139959,6.697727807839712
2033,0.5577496801032795,0.8383770478055372,1.1280044155077948,4.428326589345932,5.470600501139959,6.957727807839712
2034,0.5657496801032795,0.8523770478055372,1.1520044155077949,4.5593265893459325,5.651600501139959,7.218727807839712
2035,0.5727496801032795,0.8653770478055371,1.1770044155077948,4.690326589345933,5.832600501139959,7.479727807839712
2036,0.5787496801032795,0.8783770478055373,1.200004415507795,4.822326589345932,6.013600501139959,7.741727807839712
2037,0.5847496801032795,0.8903770478055373,1.2230044155077948,4.953326589345933,6.194600501139959,8.003727807839711
2038,0.5907496801032796,0.9023770478055371,1.2450044155077948,5.083326589345932,6.374600501139959,8.265727807839712
2039,0.5967496801032796,0.9133770478055372,1.2660044155077947,5.212326589345932,6.553600501139959,8.525727807839711
2040,0.6017496801032796,0.9233770478055372,1.2870044155077949,5.340326589345931,6.731600501139959,8.784727807839712
2041,0.6067496801032796,0.9333770478055372,1.307004415507795,5.4663265893459325,6.907600501139959,9.041727807839711
2042,0.6117496801032796,0.9433770478055372,1.327004415507795,5.5913265893459325,7.082600501139959,9.296727807839712
2043,0.6157496801032796,0.9523770478055371,1.3460044155077948,5.714326589345932,7.255600501139959,9.549727807839712
2044,0.6207496801032795,0.9603770478055371,1.3640044155077948,5.835326589345932,7.4266005011399585,9.801727807839711
2045,0.6247496801032795,0.9693770478055372,1.3820044155077948,5.956326589345933,7.596600501139959,10.051727807839711
2046,0.6277496801032795,0.9763770478055371,1.3990044155077948,6.0753265893459325,7.765600501139959,10.300727807839712
2047,0.6317496801032795,0.9843770478055371,1.4160044155077949,6.192326589345932,7.933600501139959,10.548727807839711
2048,0.6347496801032795,0.9913770478055373,1.432004415507795,6.3093265893459325,8.100600501139958,10.794727807839712
2049,0.6377496801032795,0.9973770478055373,1.4470044155077948,6.425326589345932,8.266600501139958,11.040727807839712
2050,0.6397496801032795,1.0033770478055373,1.462004415507795,6.540326589345932,8.43160050113996,11.284727807839712
2051,0.6427496801032795,1.0093770478055373,1.476004415507795,6.654326589345931,8.595600501139959,11.528727807839712
2052,0.6447496801032795,1.0143770478055372,1.490004415507795,6.768326589345932,8.759600501139959,11.770727807839712
2053,0.6467496801032795,1.0203770478055372,1.5030044155077948,6.880326589345932,8.921600501139958,12.012727807839712
2054,0.6487496801032795,1.0243770478055372,1.5150044155077949,6.992326589345932,9.083600501139959,12.253727807839711
2055,0.6507496801032795,1.029377047805537,1.5280044155077948,7.102326589345932,9.243600501139959,12.494727807839713
2056,0.6517496801032795,1.033377047805537,1.5390044155077949,7.212326589345933,9.403600501139959,12.733727807839712
2057,0.6537496801032795,1.037377047805537,1.5500044155077948,7.321326589345933,9.56260050113996,12.972727807839712
2058,0.6547496801032795,1.041377047805537,1.561004415507795,7.428326589345932,9.71960050113996,13.210727807839712
2059,0.6557496801032795,1.0443770478055372,1.571004415507795,7.535326589345932,9.87660050113996,13.447727807839712
2060,0.6567496801032795,1.047377047805537,1.5800044155077948,7.640326589345932,10.031600501139959,13.684727807839712
