Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
1965,-0.4981455973785718,-0.4828149429847146,-0.46748428859085756,-1.7556876023610433,-1.785561140378316,-1.7576363881429038
1966,-0.49333710597568925,-0.47977689689115965,-0.46621668780663017,-1.6165918191274007,-1.7301121314366656,-1.8615215619405112
1967,-0.5107097589645948,-0.49837043236787504,-0.4860311057711554,-1.8307937463124593,-1.8523202498753863,-1.8484233220418296
1968,-0.5121500098687485,-0.5013476981676929,-0.49054538646663726,-2.1399091561635335,-2.057284887631734,-2.1501668294270835
1969,-0.5017461493957335,-0.49267377334330587,-0.48360139729087825,-2.0584906419118245,-1.989622648557027,-2.024491628011068
1970,-0.48781931331014494,-0.47934083222167145,-0.4708623511331983,-1.9775046189626058,-1.9255395491917926,-1.8738394578297934
1971,-0.4775924696665437,-0.46997746624321335,-0.46236246281988314,-1.6969517548878987,-1.7141810019810992,-1.7176805337270102
1972,-0.48334162697394445,-0.47667517425096106,-0.4700087215279777,-1.5453308900197347,-1.6005397399266559,-1.5772183736165366
1973,-0.46127347792715145,-0.4546146912119765,-0.44795590449680167,-1.5754941781361897,-1.5246718486150104,-1.472553332646688
1974,-0.44340585135287824,-0.4372258842900777,-0.43104591722727725,-1.49456680615743,-1.4273937304814655,-1.3404064973195395
1975,-0.42998344585772863,-0.4250033997456981,-0.4200233536336677,-1.139682658513387,-1.1784957011540729,-1.1321314175923667
1976,-0.40109494975520776,-0.39688553633557144,-0.39267612291593534,-1.2976597627003987,-1.2170508464177447,-0.9629414876302085
1977,-0.35470511904130997,-0.3512910585527863,-0.34787699806426275,-1.1823026021321614,-1.0983038504918414,-0.9195385773976645
1978,-0.34204389193505014,-0.33848201613556883,-0.3349201403360875,-1.322562583287557,-1.065815742810567,-0.8065114816029868
1979,-0.3245833427650694,-0.32109149037776885,-0.3175996379904684,-1.3814038117726644,-1.1008349021275836,-0.6682914098103843
1980,-0.3024048924487388,-0.29903728564448673,-0.29566967884023465,-0.8299297173817952,-0.7877648433049518,-0.7019265492757163
1981,-0.28570803267940115,-0.28298888383459053,-0.2802697349897799,-0.8789557298024495,-0.825259741147359,-0.8096195062001548
1982,-0.25367885403485435,-0.25183401963836394,-0.24998918524187375,-1.0301817735036214,-0.9571607669194537,-0.824822505315145
1983,-0.2384659730259091,-0.23784023189080483,-0.23721449075570078,-1.2739607175191243,-1.0997808535893756,-0.8277533849080405
1984,-0.2103047574254966,-0.2101506365005309,-0.20999651557556553,-1.427911647160848,-1.0708947738011676,-0.8229003747304282
1985,-0.202090781210842,-0.20131142343439057,-0.20053206565793913,-1.0954586346944173,-0.9031177123387653,-0.7558253606160483
1986,-0.18591595417440432,-0.18486238319869874,-0.18380881222299328,-0.7018226464589437,-0.7354748805363971,-0.683042605717977
1987,-0.17745146259183653,-0.17597393355461466,-0.174496404517393,-0.7730747540791829,-0.7527096827824908,-0.6371033986409507
1988,-0.1678527894066676,-0.16691058670071535,-0.16596838399476332,-0.7587548573811849,-0.647574718793233,-0.5955684979756675
1989,-0.17384287925087827,-0.17272860179667993,-0.17161432434248158,-0.8518668492635091,-0.6911738475163776,-0.56523068745931
1990,-0.1551576593255367,-0.15417409601275123,-0.15319053269996596,-0.8771115620930989,-0.6790137847264606,-0.5598464806874595
1991,-0.12235842994130741,-0.12146045832337793,-0.12056248670544878,-0.40961850484212237,-0.40957289536794006,-0.4469846089680991
1992,-0.10448122573225782,-0.10336021447497401,-0.10223920321769026,-0.5424717744191487,-0.41529088815053283,-0.27685244878133153
1993,-0.08669069389186368,-0.08543200309422327,-0.08417331229658287,-0.5355507214864095,-0.4533107837041217,-0.23681743939717625
1994,-0.05708980605085823,-0.05591552784945608,-0.0547412496480541,-0.33786667188008623,-0.35956793626149475,-0.30715640385945653
1995,-0.04225616885814376,-0.04139205797422296,-0.040527947090302274,-0.48424876530965166,-0.45600562890370666,-0.32168753941853856
1996,-0.04488860769895986,-0.04433982676169601,-0.04379104582443227,-0.05797565778096514,-0.1511877139409381,-0.21843345959981297
1997,-0.02948539359318536,-0.02930144471779339,-0.029117495842401475,-0.14199269612630205,-0.11999564965565979,-0.15927155812581395
1998,0.012704584073408687,0.01255552532365578,0.012406466573902875,-0.1385666211446126,-0.09689098199208557,-0.07268246014912938
1999,0.05101153618628329,0.05040669663316355,0.0498018570800437,0.1610404173533122,0.11011118094126404,-0.01021440823872899
2000,0.07460407510192935,0.07378879214283651,0.07297350918374351,0.07750522295633955,0.06669921080271424,0.08312455813089992
2001,0.09780903021815052,0.09678843270080095,0.09576783518345122,0.3822792689005534,0.3561262528101605,0.28268114725748683
2002,0.1276883253950541,0.12637476081654014,0.12506119623802592,0.7771748224894206,0.6884781757990521,0.5400702158610025
2003,0.14481455944167265,0.14331404258324754,0.1418135257248222,1.0463942209879558,0.9607904593149823,0.9276899496714273
2004,0.13377587467561358,0.13214737900825135,0.130518883340889,1.081009022394816,0.9586309830347699,0.776380936304728
2005,0.16101796183725392,0.1593770478055373,0.15773613377382056,1.181138269106547,1.0316004196802777,0.8565746943155923
